Years,b2_lwagelunemp_full,se2_lwagelunemp_full,up2_lwagelunemp_full,dn2_lwagelunemp_full,arcib,arcit
0,.5275203,1.112897,2.358236,-1.303195,-.2,.2
1,-.1017767,.7476097,1.128041,-1.331595,-.2,.2
2,.9997252,5.610197,10.2285,-8.229049,-.2,.2
3,.0949443,.351421,.6730319,-.4831432,-.2,.2
4,-.0053666,.1892036,.3058734,-.3166066,-.2,.2
5,.0197737,.1442737,.2571039,-.2175565,-.2,.2
6,-.0138866,.0996617,.1500568,-.17783,-.2,.2
7,-.0289065,.0866503,.1136332,-.1714462,-.2,.2
8,-.0437394,.0698994,.0712452,-.158724,-.2,.1862093
9,-.0570788,.0653258,.0503821,-.1645397,-.2,.1578239
10,-.0720586,.0552477,.018824,-.1629411,-.2,.1096903
11,-.0785428,.0496922,.0032009,-.1602865,-.2,.08493
12,-.0775229,.0430235,-.0067492,-.1482967,-.2,.0640119
13,-.0790132,.0380561,-.0164109,-.1416154,-.2,.0461802
14,-.0800302,.0311794,-.0287401,-.1313203,-.1826013,.0225409
15,-.0866134,.0275272,-.0413311,-.1318958,-.17717,.0039432
16,-.0787794,.0260921,-.0358578,-.121701,-.1646149,.0070561
17,-.0770471,.0228589,-.0394442,-.1146501,-.1522464,-.0018479
18,-.0776023,.0215498,-.0421529,-.1130518,-.1484949,-.0067098
19,-.0801415,.0196272,-.0478548,-.1124282,-.1447092,-.0155738
20,-.0802989,.0176292,-.0512988,-.1092989,-.1382938,-.0223039
21,-.0810687,.0161795,-.0544534,-.107684,-.1342946,-.0278429
22,-.086528,.0155197,-.0609981,-.1120578,-.1375832,-.0354728
23,-.0869498,.0147084,-.0627545,-.1111452,-.1353363,-.0385634
24,-.0937268,.0159884,-.0674258,-.1200278,-.146324,-.0411296
25,-.0973741,.0163836,-.070423,-.1243252,-.1512715,-.0434767
26,-.0951639,.0155517,-.0695813,-.1207465,-.1463245,-.0440033
27,-.0956092,.0151765,-.070644,-.1205745,-.1455354,-.0456831
28,-.0962096,.0146614,-.0720915,-.1203277,-.1444415,-.0479778
29,-.0925338,.0133878,-.0705109,-.1145567,-.1365757,-.0484919
30,-.090426,.0134982,-.0682214,-.1126306,-.1348312,-.0460208
31,-.0916578,.0138761,-.0688316,-.114484,-.1373061,-.0460094
32,-.092228,.0153575,-.0669648,-.1174911,-.1427497,-.0417062
33,-.0921337,.0150922,-.067307,-.1169604,-.1417827,-.0424847
34,-.0956276,.0157221,-.0697648,-.1214904,-.1473486,-.0439066
35,-.1028934,.0156244,-.0771913,-.1285955,-.1542931,-.0514937
36,-.1099135,.016495,-.0827792,-.1370479,-.1641774,-.0556496
37,-.1139684,.0173402,-.0854438,-.142493,-.1710126,-.0569242
38,-.1179983,.0182864,-.0879172,-.1480795,-.1781554,-.0578413
39,-.1202332,.0183597,-.0900315,-.1504349,-.1806311,-.0598352
40,-.1231346,.0194367,-.0911613,-.155108,-.1870757,-.0591936
